intersection_id,weekday,hour,volume_sum,observations,mean_volume
1067,3,8,217885.000001,236,923.2415254279662
1067,3,9,216978.444444,236,919.4001883220338
1067,3,10,213128.888888,236,903.0885122372881
1067,3,11,209458.66666699998,235,891.3134751787234
1067,3,12,210870.222223,236,893.5178907754237
1067,3,13,218553.555556,236,926.0743879491525
1067,3,14,229017.333334,236,970.4124293813559
1067,3,15,221587.888891,235,942.9271867702128
1067,3,16,217469.88889,235,925.4037825106383
1067,3,17,208625.444446,236,884.0061205338983
1067,3,18,200086.777777,236,847.8253295635594
1067,3,19,194609.111111,236,824.6148775889831
1067,3,20,197574.0,236,837.1779661016949
1067,3,21,205685.444444,236,871.5484934067796
1067,3,22,209062.111112,236,885.8564030169492
1067,3,23,200118.999999,236,847.9618644025423
1067,4,0,180668.111111,233,775.3996185021459
1067,4,1,154657.777778,236,655.3295668559322
1067,4,2,138660.222222,236,587.5433145000001
1067,4,3,128916.222223,236,546.255178911017
1067,4,4,129171.0,234,552.0128205128206
1067,4,5,141002.666666,236,597.4689265508475
1067,4,6,137377.111113,237,579.6502578607594
1067,4,7,139380.333334,236,590.5946327711864
1067,4,8,166637.999999,236,706.0932203347458
1067,4,9,185602.333334,236,786.4505649745762
1067,4,10,216775.333334,235,922.4482269531915
1067,4,11,219472.111112,235,933.9238770723405
1067,4,12,210557.222222,236,892.1916195847458
1067,4,13,209341.555553,236,887.040489631356
1067,4,14,207679.444445,236,879.9976459533898
1067,4,15,202504.222222,236,858.0687382288136
1067,4,16,206013.00000200002,236,872.9364406864407
1067,4,17,200190.999999,237,844.6877637088608
1067,4,18,207052.444444,236,877.3408662881355
1067,4,19,202408.44444300001,236,857.6629001822034
1067,4,20,197210.33333300002,236,835.6370056483051
1067,4,21,201112.22222300002,236,852.1704331483052
1067,4,22,205908.0,236,872.4915254237288
1067,4,23,199361.0,236,844.75
1067,5,0,174530.222222,234,745.8556505213676
1067,5,1,147666.0,236,625.7033898305085
1067,5,2,136281.0,236,577.4618644067797
1067,5,3,146163.444445,235,621.9721040212766
1067,5,4,174871.444444,235,744.1338061446809
1067,5,5,163975.999999,236,694.8135593177966
1067,5,6,168257.555555,236,712.9557438771186
1067,5,7,208159.777779,236,882.0329566906779
1067,5,8,224087.444444,235,953.5635933787233
1067,5,9,219438.444445,236,929.8239171398305
1067,5,10,218638.333333,236,926.4336158177965
1067,5,11,219447.666666,236,929.8629943474576
1067,5,12,213944.333332,236,906.5437853050848
1067,5,13,220426.777777,236,934.0117702415255
1067,5,14,225501.444444,236,955.5145951016949
1067,5,15,212704.888889,236,901.2919020720338
1067,5,16,207861.777777,236,880.7702448177967
1067,5,17,199608.33333300002,236,845.7980225974577
1067,5,18,190815.111111,230,829.6309178739131
1067,5,19,189258.0,228,830.078947368421
1067,5,20,194924.88889,228,854.9337232017544
1067,5,21,206770.000001,228,906.8859649166667
1067,5,22,207310.666667,228,909.2573099429825
1067,5,23,186722.888889,228,818.960038986842
1067,6,0,158696.777776,223,711.6447433901345
1067,6,1,147669.444445,228,647.6730019517544
1067,6,2,144387.88889,228,633.2802144298246
1067,6,3,153550.000001,228,673.4649122850877
1067,6,4,174438.222223,228,765.0799220307017
1067,6,5,167294.222223,228,733.7465886973683
1067,6,6,165276.222221,228,724.895711495614
1067,6,7,203007.666666,228,890.3845029210527
1067,6,8,218540.222222,228,958.5097465877193
1067,6,9,214123.666666,227,943.2760646079296
1067,6,10,216949.999999,232,935.1293103405172
1067,6,11,215260.33333300002,230,935.9144927521739
1067,6,12,214499.333334,232,924.5660919568966
1067,6,13,219108.333332,232,944.4324712586207
1067,6,14,224568.222223,232,967.9664750991379
1067,6,15,212102.444444,232,914.2346743275862
1067,6,16,212248.0,232,914.8620689655172
1067,6,17,202070.888889,231,874.7657527662337
1067,6,18,196275.777779,232,846.0162835301724
1067,6,19,194127.222221,232,836.7552681939655
1067,6,20,198857.444444,232,857.1441570862069
1067,6,21,209625.111111,232,903.5565134094828
1067,6,22,211664.444444,232,912.3467432931034
1067,6,23,192093.333335,232,827.9885057543104
1068,0,0,165196.961908,448,368.74321854464284
1068,0,1,100644.085714,454,221.68300818061675
1068,0,2,60031.209519000004,454,132.22733374229077
1068,0,3,59285.409522,452,131.16241044690267
1068,0,4,87486.828574,452,193.55493047345132
1068,0,5,93392.371431,452,206.6202907765487
1068,0,6,154779.161904,452,342.43177412389383
1068,0,7,290331.590476,452,642.3265276017698
1068,0,8,331306.466668,449,737.8763177461024
1068,0,9,338776.31428,452,749.5051200884956
1068,0,10,349783.60952,450,777.2969100444444
1068,0,11,355826.14286100003,451,788.9714919312639
1068,0,12,363655.54285800003,451,806.331580616408
1068,0,13,362204.971429,452,801.3384323650444
1068,0,14,352081.504758,449,784.1458903296215
1068,0,15,319762.857143,449,712.1667196948775
1068,0,16,327977.29524,452,725.6134850442478
1068,0,17,353194.704761,450,784.8771216911111
1068,0,18,365390.761904,452,808.386641380531
1068,0,19,368775.828576,452,815.875726938053
1068,0,20,363643.542859,452,804.5211125199114
1068,0,21,339115.285718,452,750.2550568982301
1068,0,22,301360.380956,452,666.726506539823
1068,0,23,237686.104761,452,525.8542140730088
1068,1,0,168815.904765,446,378.5109972309417
1068,1,1,100365.142855,448,224.0293367299107
1068,1,2,60258.219042,448,134.50495321875
1068,1,3,56757.647617,446,127.25929958968611
1068,1,4,82482.847621,448,184.11349915401783
1068,1,5,89951.199998,448,200.78392856696428
1068,1,6,149892.752384,448,334.58203657142855
1068,1,7,278438.704759,448,621.5149659799107
1068,1,8,321232.95238,443,725.130818013544
