source,target,profile_correlation,profile_distance
1035,1119,0.9943945389150617,0.005605461084938312
1035,1116,0.9935333301468096,0.006466669853190443
1035,1083,0.9929303015795254,0.007069698420474557
1035,1094,0.9924491052981627,0.007550894701837341
1036,1064,0.9968525836719742,0.0031474163280258427
1036,1080,0.9963148804083053,0.0036851195916947077
1036,1092,0.9961528651131938,0.003847134886806214
1036,1051,0.9961226410082913,0.0038773589917087126
1036,1082,0.9953834026228519,0.004616597377148146
1036,1109,0.99106522072941,0.008934779270590054
1036,1116,0.9959017115717395,0.004098288428260544
1037,1081,0.9974572923574989,0.0025427076425010853
1037,1051,0.9972238616246505,0.002776138375349513
1037,1038,0.997160042110013,0.0028399578899870326
1037,1066,0.9967047412826556,0.0032952587173443737
1038,1064,0.9975376712920074,0.002462328707992567
1038,1086,0.9973510962084694,0.002648903791530599
1038,1051,0.9970869770471378,0.002913022952862221
1038,1054,0.9961333354232833,0.003866664576716694
1038,1095,0.9956481554654951,0.004351844534504878
1039,1079,0.9975675699440159,0.002432430055984147
1039,1043,0.9966530359959963,0.003346964004003694
1039,1077,0.9958857389972012,0.004114261002798769
1039,1065,0.9955728443079387,0.004427155692061313
1039,1040,0.9954222977464215,0.004577702253578453
1039,1044,0.9930280322510004,0.006971967748999552
1039,1068,0.993226377968962,0.00677362203103804
1039,1078,0.9938236021039546,0.006176397896045405
1040,1065,0.9963564986181449,0.0036435013818550965
1040,1043,0.9959472047772991,0.004052795222700856
1040,1071,0.9954888234404449,0.00451117655955513
1040,1042,0.994068302746292,0.005931697253708013
1040,1067,0.9029447657715803,0.09705523422841966
1040,1070,0.9907836706327718,0.00921632936722816
1040,1072,0.9910759793503509,0.008924020649649145
1040,1074,0.9894429280440815,0.010557071955918484
1041,1058,0.9973892762240436,0.0026107237759563917
1041,1051,0.9957107666168996,0.004289233383100388
1041,1081,0.9929091241266952,0.007090875873304814
1042,1065,0.995078011672813,0.0049219883271870435
1042,1053,0.9950131905163909,0.004986809483609078
1042,1044,0.9930900705167469,0.0069099294832530855
1042,1070,0.9916707708053244,0.008329229194675603
1043,1071,0.9983251064328793,0.0016748935671206944
1043,1064,0.9979678388671884,0.002032161132811572
1043,1092,0.9967058306637114,0.003294169336288566
1043,1044,0.9926453836814709,0.0073546163185290725
1043,1053,0.9943011491067957,0.005698850893204321
1043,1065,0.9960155078612226,0.003984492138777385
1043,1079,0.996286125581264,0.0037138744187360517
1044,1065,0.993373232658649,0.006626767341351036
1047,1048,0.9889097390886283,0.011090260911371663
1047,1117,0.9862668939539146,0.013733106046085353
1047,1070,0.9861277931537591,0.013872206846240909
1048,1116,0.9974012728224717,0.0025987271775282927
1048,1117,0.9955775555282365,0.0044224444717635425
1048,1119,0.9930736902709341,0.006926309729065938
1048,1092,0.9927472537160337,0.007252746283966327
1051,1081,0.9979448407559688,0.0020551592440312128
1051,1066,0.9966575921666405,0.003342407833359484
1051,1058,0.9925337399080786,0.007466260091921417
1051,1090,0.9895165068955487,0.010483493104451291
1053,1054,0.9951484169443583,0.004851583055641706
1053,1065,0.9946686853713129,0.005331314628687078
1054,1064,0.9949000918857733,0.00509990811422667
1057,1069,0.9972712359945461,0.0027287640054538542
1057,1075,0.9965844949587952,0.0034155050412048027
1057,1077,0.9920156868150124,0.007984313184987601
1057,1504,0.9833772995624975,0.01662270043750247
1059,1115,0.9949301069416752,0.005069893058324837
1059,1503,0.9930337877567451,0.006966212243254888
